dataset,model,neighbours,weights,tasks_description,accuracy,precision,recall,f1,roc_auc,roc_auc_ovr
9981,knn,3,uniform,multiclass_tasks,0.8555555555555557,,,,,0.9646846064814814
9985,knn,3,uniform,multiclass_tasks,0.5173408534171988,,,,,0.7310432973760091
3,knn,3,distance,balanced_binary_tasks,0.7803644200626959,0.7859769186773851,0.7747334021327829,0.771814237137468,0.8488309354906013,0.8488309354906013
15,knn,3,distance,balanced_binary_tasks,0.9585300207039337,0.9464950419950421,0.9336666666666668,0.938696817857578,0.98097423510467,0.98097423510467
29,knn,3,distance,balanced_binary_tasks,0.8217391304347824,0.8346024008966376,0.8408906882591094,0.829000449035821,0.8674506261518147,0.8674506261518147
31,knn,3,distance,balanced_binary_tasks,0.75,0.6178280078680537,0.4366666666666667,0.5099601060550006,0.7269047619047619,0.7269047619047619
37,knn,3,distance,balanced_binary_tasks,0.7395591250854407,0.6457862793544953,0.5783475783475783,0.6072557750724866,0.7626025641025642,0.7626025641025642
43,knn,3,distance,balanced_binary_tasks,0.8963307554465716,0.8770584225852994,0.8604699168235079,0.8675960532322083,0.9360522014017395,0.9360522014017395
49,knn,3,distance,balanced_binary_tasks,0.8350438596491229,0.833776155642482,0.9428315412186379,0.8812544504352532,0.820918945942665,0.820918945942665
219,knn,3,distance,balanced_binary_tasks,0.6936534636454605,0.7475927340339756,0.7396733164133373,0.7311842662143926,0.7293227334807966,0.7293227334807966
9910,knn,3,distance,balanced_binary_tasks,0.7608702127659573,0.7702503124161333,0.796452719018642,0.7829058776476288,0.8191518541332785,0.8191518541332785
9946,knn,3,distance,balanced_binary_tasks,0.9647869674185465,0.9806271112564019,0.9242424242424244,0.950532530513275,0.9848376623376623,0.9848376623376623
9957,knn,3,distance,balanced_binary_tasks,0.8207187780772687,0.7166401516873945,0.7942857142857143,0.7501933359109343,0.8799272322455552,0.8799272322455552
9976,knn,3,distance,balanced_binary_tasks,0.5484615384615384,0.5416871274159994,0.6284615384615384,0.5814474649119947,0.5601893491124261,0.5601893491124261
10093,knn,3,distance,balanced_binary_tasks,0.9985401459854014,0.9967741935483871,1.0,0.9983739837398374,0.9986842105263157,0.9986842105263157
14952,knn,3,distance,balanced_binary_tasks,0.9588334301588212,0.9552857960471078,0.9718963150670469,0.9634658243359325,0.9812428612911882,0.9812428612911882
3021,knn,3,distance,disbalanced_binary_tasks,0.96421273490239,0.8242514430014432,0.532427536231884,0.6378972571640394,0.8726541902071562,0.8726541902071562
3902,knn,3,distance,disbalanced_binary_tasks,0.8930184222957015,0.5885505670799789,0.44379084967320254,0.5008938336413309,0.8325367647058824,0.8325367647058824
3903,knn,3,distance,disbalanced_binary_tasks,0.8822962600032664,0.400508658008658,0.25625,0.30910830777450693,0.7246776849037487,0.7246776849037487
3904,knn,3,distance,disbalanced_binary_tasks,0.7337637741046833,0.3004547172944907,0.2839629880388174,0.2911489517505022,0.5915859597905762,0.5915859597905762
3913,knn,3,distance,disbalanced_binary_tasks,0.7986211901306242,0.562020202020202,0.4672727272727272,0.4814041995156546,0.7346209481575335,0.7346209481575335
3917,knn,3,distance,disbalanced_binary_tasks,0.764840893703453,0.2699307611991693,0.27926136363636367,0.26786312524249667,0.6108166010189777,0.6108166010189777
3918,knn,3,distance,disbalanced_binary_tasks,0.9125634725634726,0.4116702741702742,0.27142857142857146,0.3117059694691274,0.6951723034247307,0.6951723034247307
7592,knn,3,distance,disbalanced_binary_tasks,0.8204005810965894,0.8731837015577183,0.8937426312609833,0.8833292820192696,0.8250666429217477,0.8250666429217477
9952,knn,3,distance,disbalanced_binary_tasks,0.9019237351954541,0.8580632123977624,0.7988137887110899,0.8268011545696237,0.928182568569305,0.928182568569305
9971,knn,3,distance,disbalanced_binary_tasks,0.6569549970777324,0.41068157762430213,0.3919117647058824,0.3919009253999112,0.631071300471408,0.631071300471408
9977,knn,3,distance,disbalanced_binary_tasks,0.9297817241131394,0.9537093366648959,0.948500702352576,0.9507740872142433,0.9539660234524199,0.9539660234524199
9978,knn,3,distance,disbalanced_binary_tasks,0.9064470449099,0.31846440596440595,0.1625,0.19139102587386342,0.7028991264227209,0.7028991264227209
10101,knn,3,distance,disbalanced_binary_tasks,0.6591711711711712,0.21693251052833595,0.2787581699346405,0.22638361796331435,0.5061088177961244,0.5061088177961244
6,knn,3,distance,multiclass_tasks,0.9555,,,,,0.9923369240017894
11,knn,3,distance,multiclass_tasks,0.732642089093702,,,,,0.7509527044607646
12,knn,3,distance,multiclass_tasks,0.9684999999999999,,,,,0.9907194444444445
14,knn,3,distance,multiclass_tasks,0.8,,,,,0.9430430555555557
16,knn,3,distance,multiclass_tasks,0.9635,,,,,0.9899999999999999
18,knn,3,distance,multiclass_tasks,0.6775,,,,,0.8737041666666666
22,knn,3,distance,multiclass_tasks,0.782,,,,,0.947626388888889
23,knn,3,distance,multiclass_tasks,0.4500873322301893,,,,,0.6050599232801772
28,knn,3,distance,multiclass_tasks,0.9747330960854093,,,,,0.9943447521896406
32,knn,3,distance,multiclass_tasks,0.9937228885763917,,,,,0.9982428834245383
45,knn,3,distance,multiclass_tasks,0.7536050156739812,,,,,0.8786695540123037
53,knn,3,distance,multiclass_tasks,0.7151540616246499,,,,,0.8805220151446547
2074,knn,3,distance,multiclass_tasks,0.9062208398133746,,,,,0.9747175271595043
2079,knn,3,distance,multiclass_tasks,0.3946686412439837,,,,,0.6774036785332906
3022,knn,3,distance,multiclass_tasks,0.6515151515151515,,,,,0.8726430976430976
3481,knn,3,distance,multiclass_tasks,0.9109917382574636,,,,,0.9842317166143916
3549,knn,3,distance,multiclass_tasks,0.994075630252101,,,,,0.9982102558450888
3560,knn,3,distance,multiclass_tasks,0.20343354430379748,,,,,0.5252401756696531
3573,knn,3,distance,multiclass_tasks,0.9467857142857143,,,,,0.9864928133619951
9960,knn,3,distance,multiclass_tasks,0.7799092650468796,,,,,0.8941112029336313
9964,knn,3,distance,multiclass_tasks,0.9171187106918239,,,,,0.9807093494931699
9981,knn,3,distance,multiclass_tasks,0.8722222222222223,,,,,0.9660397376543208
9985,knn,3,distance,multiclass_tasks,0.5472556507600312,,,,,0.7394958406485438
3,knn,5,uniform,balanced_binary_tasks,0.7694151645768026,0.7787900090735771,0.7557705538355692,0.7549182103697015,0.8559007715045992,0.8559007715045992
15,knn,5,uniform,balanced_binary_tasks,0.9656935817805383,0.9558565138565139,0.9460000000000001,0.9498181970290428,0.9854626409017714,0.9854626409017714
29,knn,5,uniform,balanced_binary_tasks,0.8376811594202899,0.8446729516506825,0.859379217273954,0.8436298119316928,0.8855334987593052,0.8855334987593052
31,knn,5,uniform,balanced_binary_tasks,0.751,0.6442209493293085,0.39666666666666667,0.4878722371603839,0.7465238095238095,0.7465238095238095
37,knn,5,uniform,balanced_binary_tasks,0.739542036910458,0.6566471571906355,0.5632478632478632,0.6025988580101294,0.7805769230769231,0.7805769230769231
43,knn,5,uniform,balanced_binary_tasks,0.8974177119683111,0.8889002204448285,0.847231497783984,0.8667015171358676,0.9385379175141129,0.9385379175141129
49,knn,5,uniform,balanced_binary_tasks,0.8278070175438597,0.8278112276225373,0.9333077316948284,0.8741563995313284,0.8455565070603022,0.8455565070603022
219,knn,5,uniform,balanced_binary_tasks,0.7048865635439142,0.7573940065808918,0.7527126854080919,0.7414862673389583,0.7569815249987746,0.7569815249987746
9910,knn,5,uniform,balanced_binary_tasks,0.7552723404255319,0.7605253333801212,0.8008765575195594,0.7799299336877523,0.8184739877581799,0.8184739877581799
9946,knn,5,uniform,balanced_binary_tasks,0.9666353383458647,0.9812981069273976,0.9290043290043289,0.9534687723570311,0.9891579055864769,0.9891579055864769
9957,knn,5,uniform,balanced_binary_tasks,0.8434501347708896,0.7581225319396051,0.8081746031746032,0.777503720529759,0.8912532699069965,0.8912532699069965
9976,knn,5,uniform,balanced_binary_tasks,0.5373076923076924,0.5313289344332001,0.6361538461538462,0.5783470618006539,0.5664644970414201,0.5664644970414201
10093,knn,5,uniform,balanced_binary_tasks,0.9985401459854014,0.9967741935483871,1.0,0.9983739837398374,0.9986842105263157,0.9986842105263157
14952,knn,5,uniform,balanced_binary_tasks,0.9413776766792404,0.9381256397862442,0.9580920705310948,0.9479697866369736,0.9809177188330944,0.9809177188330944
3021,knn,5,uniform,disbalanced_binary_tasks,0.9618261687227203,0.8558119658119658,0.45905797101449275,0.589225380029554,0.8954445873019168,0.8954445873019168
3902,knn,5,uniform,disbalanced_binary_tasks,0.8902598016060465,0.5875252525252526,0.36470588235294116,0.4444733682664717,0.8482281454248366,0.8482281454248366
3903,knn,5,uniform,disbalanced_binary_tasks,0.8861342479176875,0.40300366300366297,0.16875,0.23241277515719244,0.7628009435157042,0.7628009435157042
3904,knn,5,uniform,disbalanced_binary_tasks,0.7633479683195592,0.34492078748509714,0.2483457458812909,0.28773989120359555,0.6203494307432681,0.6203494307432681
